Designator,Mid X,Mid Y,Rotation,Layer
BT1,107.5,-94.5,180.0,top
C1,59.5,-54.0,180.0,top
C10,99.5,-78.0,180.0,top
C11,59.5,-84.0,180.0,top
C12,99.5,-84.0,180.0,top
C2,99.5,-54.0,180.0,top
C3,59.5,-60.0,180.0,top
C4,99.5,-60.0,180.0,top
C5,59.5,-66.0,180.0,top
C6,99.5,-66.0,180.0,top
C7,59.5,-72.0,180.0,top
C8,99.5,-72.0,180.0,top
C9,59.5,-78.0,180.0,top
LED1,125.0,-84.0,180.0,top
LED10,115.0,-78.0,180.0,top
LED11,105.0,-78.0,180.0,top
LED12,95.0,-78.0,180.0,top
LED13,85.0,-78.0,180.0,top
LED14,75.0,-78.0,180.0,top
LED15,65.0,-78.0,180.0,top
LED16,55.0,-78.0,180.0,top
LED17,125.0,-72.0,180.0,top
LED18,125.0,-66.0,180.0,top
LED19,115.0,-72.0,180.0,top
LED2,115.0,-84.0,180.0,top
LED20,115.0,-66.0,180.0,top
LED21,105.0,-72.0,180.0,top
LED22,105.0,-66.0,180.0,top
LED23,95.0,-72.0,180.0,top
LED24,95.0,-66.0,180.0,top
LED25,85.0,-72.0,180.0,top
LED26,85.0,-66.0,180.0,top
LED27,75.0,-72.0,180.0,top
LED28,75.0,-66.0,180.0,top
LED29,65.0,-72.0,180.0,top
LED3,105.0,-84.0,180.0,top
LED30,65.0,-66.0,180.0,top
LED31,55.0,-72.0,180.0,top
LED32,55.0,-66.0,180.0,top
LED33,125.0,-60.0,180.0,top
LED34,125.0,-54.0,180.0,top
LED35,115.0,-60.0,180.0,top
LED36,115.0,-54.0,180.0,top
LED37,105.0,-60.0,180.0,top
LED38,105.0,-54.0,180.0,top
LED39,95.0,-60.0,180.0,top
LED4,95.0,-84.0,180.0,top
LED40,95.0,-54.0,180.0,top
LED41,85.0,-60.0,180.0,top
LED42,85.0,-54.0,180.0,top
LED43,75.0,-60.0,180.0,top
LED44,75.0,-54.0,180.0,top
LED45,65.0,-60.0,180.0,top
LED46,65.0,-54.0,180.0,top
LED47,55.0,-60.0,180.0,top
LED48,55.0,-54.0,180.0,top
LED5,85.0,-84.0,180.0,top
LED6,75.0,-84.0,180.0,top
LED7,65.0,-84.0,180.0,top
LED8,55.0,-84.0,180.0,top
LED9,125.0,-78.0,180.0,top
U1,118.9658,-98.9725,270.0,top
U2,60.0,-101.0,0.0,bottom
